# Logfile created on 2016-09-30 14:54:05 -0400 by logger.rb/44203
I, [2016-09-30T14:54:05.822654 #10292]  INFO -- : ping payload="{\"version\":\"2.6.1\",\"framework\":\"Rails 4.0.3\",\"environment\":\"development\",\"hostname\":\"mdere-VirtualBox\",\"config\":{\"root\":\"/home/mdere/workspace/consulting/tester\",\"env\":\"development\",\"config\":{\"path\":{\"path\":\"/home/mdere/workspace/consulting/tester/config/honeybadger.yml\"}},\"api_key\":\"845addaa\",\"report_data\":true,\"debug\":true,\"logging\":{\"path\":\"log/honeybadger.log\",\"level\":\"DEBUG\"}}}" level=0 pid=10292 at="lib/honeybadger/config.rb:336:in `send_ping'"
I, [2016-09-30T14:54:06.378597 #10292]  INFO -- : http method=POST path="/v1/ping" code=200 level=0 pid=10292 at="lib/honeybadger/util/http.rb:30:in `post'"
I, [2016-09-30T14:54:06.378802 #10292]  INFO -- : ping response="{\"features\":{\"notices\":true,\"local_variables\":true,\"metrics\":true,\"traces\":true,\"feedback\":true},\"limit\":false}" level=0 pid=10292 at="lib/honeybadger/config.rb:339:in `send_ping'"
I, [2016-09-30T14:54:06.378893 #10292]  INFO -- : Starting Honeybadger version 2.6.1 level=1 pid=10292
I, [2016-09-30T14:54:06.385087 #10292]  INFO -- : skip plugin name=delayed_job reason=requirement level=0 pid=10292 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:06.385336 #10292]  INFO -- : skip plugin name=passenger reason=requirement level=0 pid=10292 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:06.385511 #10292]  INFO -- : skip plugin name=local_variables reason=requirement level=0 pid=10292 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:06.385666 #10292]  INFO -- : skip plugin name=unicorn reason=requirement level=0 pid=10292 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:06.385824 #10292]  INFO -- : skip plugin name=thor reason=requirement level=0 pid=10292 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:06.385995 #10292]  INFO -- : skip plugin name=sidekiq reason=requirement level=0 pid=10292 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:06.386159 #10292]  INFO -- : skip plugin name=shoryuken reason=requirement level=0 pid=10292 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:06.386370 #10292]  INFO -- : skip plugin name=warden reason=requirement level=0 pid=10292 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:06.386584 #10292]  INFO -- : load plugin name=rails_controller_methods level=0 pid=10292 at="lib/honeybadger/plugin.rb:83:in `load!'"
I, [2016-09-30T14:54:06.386758 #10292]  INFO -- : load plugin name=rails_exceptions_catcher level=0 pid=10292 at="lib/honeybadger/plugin.rb:83:in `load!'"
I, [2016-09-30T14:54:06.390786 #10292]  INFO -- : load plugin name=net_http level=0 pid=10292 at="lib/honeybadger/plugin.rb:83:in `load!'"
I, [2016-09-30T14:54:06.391264 #10292]  INFO -- : skip plugin name=sucker_punch reason=requirement level=0 pid=10292 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:06.391557 #10292]  INFO -- : skip plugin name=resque reason=requirement level=0 pid=10292 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:06.876555 #10292]  INFO -- : stopping agent level=0 pid=10292 at="lib/honeybadger/agent.rb:183:in `stop'"
I, [2016-09-30T14:54:09.515418 #10300]  INFO -- : ping payload="{\"version\":\"2.6.1\",\"framework\":\"Rails 4.0.3\",\"environment\":\"development\",\"hostname\":\"mdere-VirtualBox\",\"config\":{\"root\":\"/home/mdere/workspace/consulting/tester\",\"env\":\"development\",\"config\":{\"path\":{\"path\":\"/home/mdere/workspace/consulting/tester/config/honeybadger.yml\"}},\"api_key\":\"845addaa\",\"report_data\":true,\"debug\":true,\"logging\":{\"path\":\"log/honeybadger.log\",\"level\":\"DEBUG\"}}}" level=0 pid=10300 at="lib/honeybadger/config.rb:336:in `send_ping'"
I, [2016-09-30T14:54:10.048934 #10300]  INFO -- : http method=POST path="/v1/ping" code=200 level=0 pid=10300 at="lib/honeybadger/util/http.rb:30:in `post'"
I, [2016-09-30T14:54:10.049112 #10300]  INFO -- : ping response="{\"features\":{\"notices\":true,\"local_variables\":true,\"metrics\":true,\"traces\":true,\"feedback\":true},\"limit\":false}" level=0 pid=10300 at="lib/honeybadger/config.rb:339:in `send_ping'"
I, [2016-09-30T14:54:10.049227 #10300]  INFO -- : Starting Honeybadger version 2.6.1 level=1 pid=10300
I, [2016-09-30T14:54:10.055554 #10300]  INFO -- : skip plugin name=delayed_job reason=requirement level=0 pid=10300 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:10.055752 #10300]  INFO -- : skip plugin name=passenger reason=requirement level=0 pid=10300 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:10.055909 #10300]  INFO -- : skip plugin name=local_variables reason=requirement level=0 pid=10300 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:10.056044 #10300]  INFO -- : skip plugin name=unicorn reason=requirement level=0 pid=10300 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:10.056185 #10300]  INFO -- : skip plugin name=thor reason=requirement level=0 pid=10300 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:10.056313 #10300]  INFO -- : skip plugin name=sidekiq reason=requirement level=0 pid=10300 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:10.056450 #10300]  INFO -- : skip plugin name=shoryuken reason=requirement level=0 pid=10300 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:10.056601 #10300]  INFO -- : skip plugin name=warden reason=requirement level=0 pid=10300 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:10.056748 #10300]  INFO -- : load plugin name=rails_controller_methods level=0 pid=10300 at="lib/honeybadger/plugin.rb:83:in `load!'"
I, [2016-09-30T14:54:10.056890 #10300]  INFO -- : load plugin name=rails_exceptions_catcher level=0 pid=10300 at="lib/honeybadger/plugin.rb:83:in `load!'"
I, [2016-09-30T14:54:10.058952 #10300]  INFO -- : load plugin name=net_http level=0 pid=10300 at="lib/honeybadger/plugin.rb:83:in `load!'"
I, [2016-09-30T14:54:10.059117 #10300]  INFO -- : skip plugin name=sucker_punch reason=requirement level=0 pid=10300 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T14:54:10.059263 #10300]  INFO -- : skip plugin name=resque reason=requirement level=0 pid=10300 at="lib/honeybadger/plugin.rb:87:in `load!'"
I, [2016-09-30T16:29:25.753508 #10300]  INFO -- : stopping agent level=0 pid=10300 at="lib/honeybadger/agent.rb:183:in `stop'"
